page_id	title	creation	age	views	page_edits	editors	len	references	talks	talkers	links	linked	urls	ref_urls	ref_pubs
16768963	Denver_Nuggets_all-time_roster	2008	13	4000	212	72	188548	381	1	1	712	102	403	381	0
16770101	Long_non-coding_RNA	2008	13	16008	514	194	108535	144	15	7	80	158	49	6	144
16789908	Anna_Kendrick	2008	13	922080	2930	1244	39536	21	117	72	378	640	64	20	3
16795291	List_of_NBA_champions	2008	13	1204837	2650	1286	74374	95	130	53	429	1057	101	93	4
16796625	List_of_urban_areas_in_Sweden	2008	13	1223	112	47	246220	2	10	10	2249	7	2	2	0
16801928	Milwaukee_Bucks_all-time_roster	2008	13	4692	275	118	194071	405	1	1	727	111	418	404	0
16829895	Smallpox	2001	19	477279	5096	2520	136239	173	878	349	555	3618	161	101	97
16831059	Suicide	2001	19	369722	8764	3718	153302	250	3179	809	416	6576	217	131	190
16834924	Brooklyn_Nets_all-time_roster	2008	13	3837	235	79	225175	479	4	4	822	100	481	479	0
16861014	Billy_Joe_Saunders	2008	13	1021659	1620	612	80768	102	34	15	201	84	140	102	0
16885554	List_of_Pixar_films	2008	13	791378	10734	3762	41243	75	308	89	385	283	83	74	1
16938345	Outline_of_immunology	2008	13	1286	371	40	38615	3	21	6	1941	12	10	1	2
16939656	List_of_birds_of_North_America	2008	13	5828	422	53	215404	0	44	15	2455	55	3	0	0
16949861	Mississippi	2001	20	278884	8066	3991	156404	118	495	188	1431	13280	157	99	19
16958118	United_States_and_state_terrorism	2006	14	4479	4874	645	32576	25	15063	569	184	176	33	17	16
16972981	Byzantine_Empire	2001	19	619770	12032	4193	217464	517	2565	323	1695	11475	158	83	171
17013058	List_of_New_Testament_lectionaries	2008	13	1152	922	51	94294	27	14	8	591	1889	1168	25	1
17054761	Swiss_Hitparade	2008	13	6558	104	58	1220	0	15	9	99	16231	3	0	0
17062920	DNA_damage_theory_of_aging	2008	13	7806	311	114	90677	130	10	9	158	89	55	5	125
17144072	Fritzl_case	2008	13	1343035	3970	1618	66991	69	440	104	105	95	70	67	2
17157886	Star_Trek	2001	19	538685	13432	5789	161335	155	1858	542	818	4244	186	129	43
17159323	List_of_minor_planets:_182001–183000	2008	13	61	59	18	184023	0	10	10	111	87	2003	0	0
17159329	List_of_minor_planets:_183001–184000	2008	13	34	51	16	192562	0	10	10	107	97	2003	0	0
17159345	List_of_minor_planets:_184001–185000	2008	13	64	57	17	197417	0	10	10	120	99	2003	0	0
17159357	List_of_minor_planets:_185001–186000	2008	13	59	60	17	196901	0	10	10	146	128	2003	0	0
17163431	History_of_malaria	2008	13	20096	2289	286	91170	147	156	29	372	128	95	54	111
17167635	List_of_Brazilian_football_transfers_2008	2008	13	65	868	83	282219	1	21	16	772	9	609	1	0
17173785	Heath_Ledger	2003	17	1579001	7436	2888	119219	165	2044	497	703	993	201	157	2
17190623	Sexy	2008	13	1184793	226	152	1608	0	183	105	17	6	0	0	0
17193637	List_of_largest_European_cities_in_history	2008	13	14485	366	110	118602	342	23	17	220	45	316	306	227
17204593	Potential_superpowers	2008	13	83978	4923	1450	86350	112	3264	480	310	138	148	95	15
17220571	Index_of_World_War_II_articles_(H)	2008	13	912	115	65	56373	0	5	5	2283	53	0	0	0
17220581	Index_of_World_War_II_articles_(J)	2008	13	874	148	69	62269	0	3	3	2155	53	0	0	0
